"brandName","branchName","longitude","latitude","cityName"
"100Panda-Kemang01","100Panda Kemang 01",106.81562190,-6.26628970,Jakarta Selatan
"101 Eats","1O1 EATS",106.80380440,-6.17391260,Jakarta Barat
"153 Kitchen","153 KITCHEN KEMANG",106.81391608,-6.25584835,Jakarta Selatan
"1925 Grooming Co. ",Booth JCC,,,Jakarta Pusat
"2 Madison","2Madison Cafe Plaza",106.78114550,-6.28565700,Jakarta Selatan
"2 Madison","2Madison Cafe Kemang Raya",106.81567060,-6.25998477,Jakarta Selatan
"2 Madison","2madison Kitchen",106.77787698,-6.29617266,Jakarta Selatan
"2080 Burger","2080 Burger Menteng",106.83777098,-6.20035675,Jakarta Pusat
"2080 Burger","2080 Burger Ancol",106.85980766,-6.11752268,Jakarta Utara
"2080 Burger","2080 Burger Ancol",106.85980766,-6.11752268,Jakarta Utara
"21 Gelato","21 Gelato",106.82982310,-6.17007886,Jakarta Pusat
"23 Studio Coffee","23 Studio Coffee",106.89115210,-6.12523530,Jakarta Utara
"278 coffee roaster","278 Coffee Roaster",0.00000000,0.00000000,Jakarta Timur
"2:33 AM Coffee and Roastery","2:33 AM COFFEE AND ROASTERY",106.78899279,-6.22467656,Jakarta Selatan
"2Madison","2madison Cafe Promenade",106.81455646,-6.25352083,Jakarta Selatan
"2TANG 2GO BOUTIQUE TEA","2TANG 2GO BOUTIQUE TEA",106.75056220,-6.19039800,Jakarta Barat
"313 Coffee Co.","313 Coffee Co.",106.84932190,-6.23029200,Jakarta Selatan
"369 Shanghai Dumpling & Noodle","369 SHANGHAI DUMPLING & NOODLE - KEBON JERUK",106.76318460,-6.19397690,Jakarta Barat
"369 Shanghai Dumpling & Noodle","369 SHANGHAI DUMPLING & NOODLE - MANGGA BESAR",106.82210110,-6.14892700,Jakarta Barat
"548 Coffee","548 Coffee",106.79778522,-6.25165608,Jakarta Selatan
"7 AM","7 AM Grand Indonesia",,,Jakarta Pusat
"7 AM","7 AM Senayan City",106.79701170,-6.22719530,Jakarta Pusat
"7 AM","7 AM Grand Indonesia",106.81984105,-6.19499840,Jakarta Pusat
"7 AM","7 AM Senayan City",106.74115590,-6.11275460,Jakarta Utara
"7 D Bar & Kitchen","7D Kitchen & Bar",106.73846434,-6.18946675,Jakarta Barat
"7AM ","7.AM Grand Indonesia",106.58283650,-6.08863160,Jakarta Pusat
"7AM","7.AM Grand Indonesia",106.77450120,-6.12133800,Jakarta Pusat
"7Shades Coffee","7Shades Coffee",106.80622585,-6.26587583,Jakarta Selatan
"7Spirits","7Spirits",106.80275280,-6.25170670,Jakarta Selatan
"7Spirits","7Spirits",106.80275280,-6.25170670,Jakarta Selatan
"83 Kitchen","83 Kitchen Kedoya",106.75964900,-6.17437100,Jakarta Barat
"88Tobacco","88Tobacco",106.89862899,-6.19843899,Jakarta Timur
"9 Ball Cafe","9 Ball Cafe - Artha Gading",106.89179922,-6.14556113,Jakarta Utara
"911 Billiard","911 Billiard Cakung",106.95888680,-6.18675090,Jakarta Timur
"911 Billiard","911 Billiard - Cengkareng",106.73053350,-6.13906040,Jakarta Barat
"911 Billiard","911 Billiard - Green Lake",106.70977280,-6.18031640,Jakarta Barat
"911 Billiard","911 Billiard Cipete",106.80519314,-6.27773077,Jakarta Selatan
"911 Billiard","911 Billiard Food City 3",106.70996400,-6.18035734,Jakarta Barat
"911 Billiard","911 Billiard Food City 2",106.71036171,-6.18009259,Jakarta Barat
"911 Billiard","911 billiard cipete New",106.80519314,-6.27773077,Jakarta Selatan
A,A,106.81904790,-6.15722740,Jakarta Barat
A Roastworks,A Roastworks,106.76960830,-6.16947420,Jakarta Barat
A&G Coffee,Kedai Kopi A&G,106.72375700,-6.12536320,Jakarta Barat
Aaltje Bakery,Aaltje Bakery,106.76391660,-6.27061970,Jakarta Selatan
AB Steak,AB Steak,106.79692587,-6.22699799,Jakarta Pusat
Abah Coffee & Eatery,Abah Coffee & Eatery,106.95713974,-6.21141593,Jakarta Timur
Abbra Coffee,Abbra Coffee,106.81884500,-6.28589300,Jakarta Selatan
Abbra Coffee,Abbra Coffee - RSPP,106.79331880,-6.24017060,Jakarta Selatan
Abbra Coffee,Abbra Coffee - KMC,106.81928360,-6.28623960,Jakarta Selatan
Abeto,ABETO,106.82733993,-6.18723204,Jakarta Pusat
Abeto,Abeto,106.82732920,-6.18749870,Jakarta Pusat
ABILL FOOD,ABILL FOOD,106.76529690,-6.15861460,Jakarta Barat
Abiumma Kitchen,Abiumma Kitchen,106.88713900,-6.31289720,Jakarta Timur
Abon Gulung,Abon Gulung - Blok M,106.80162590,-6.24548020,Jakarta Selatan
Absolutea,Absolutea JGC Cakung,106.95231558,-6.18023339,Jakarta Timur
Abuba,Abuba Steak Buaran,106.92382000,-6.21863977,Jakarta Timur
Abuba,ABUBA Steak Gajah Mada,106.81681220,-6.15112830,Jakarta Barat
