Nama Restoran,Pricing,latitude,longitude
Guo Guo Xiang Restaurant and Cafe,,-6.1527931,106.7968055
"AL BALAD RESTAURANT, ARABIAN & INDONESIAN FOOD",,-6.1548268,106.8176347
Kintan Buffet Central Park,"Rp 250,000+",-6.1761092,106.7914777
Rempah Bistro Central Park Mall,,-6.1768067,106.7911754
Bistro Bomba,,-6.1804252,106.7835772
MeatBalls & Co,,-6.1736707,106.7977335
Grainsly Tanjung Duren,,-6.1705703,106.7831451
Madam Lins Noodles & Dumplings,,-6.1807487,106.7921782
Sushi Go! Central Park,,-6.1780622,106.7901343
Grassland Vegetarian Restaurant,,-6.161504,106.7813494
Dapur Vegetarian Lifestyle,,-6.1753079,106.7834733
Seribu Rasa Central Park Mall,$$$,-6.1763816,106.7916061
Bakmie Garing Awei 88 (Greenville),,-6.1713486,106.7762825
Ebisuya,$$$,-6.1360332,106.8035361
Dapur Rempong,,-6.1390055,106.7318024
Mul Bakso Malang,,-6.1515996,106.7151605
Restaurant Chita,,-6.1417388,106.8121662
BEATRICE QUARTERS CENTRAL PARK,,-6.1762808,106.7909577
Kimukatsu Central Park Jakarta,,-6.1784083,106.7898972
OKINAWA SUSHI CENTRAL PARK,,-6.1780596,106.7909298
Mamasays Restaurant & Board Game,,-6.1747774,106.7900654
Angke Restaurant - Ketapang,$$,-6.1599069,106.8167709
Fei Cai Lai Restaurant and Eaton Bakery - HUBLIFE,$$,-6.1804612,106.7914401
Central Restaurant Tomang,$$,-6.1768049,106.7999024
Nasi Uduk Pandan Hijau 126,,-6.1574195,106.8082537
SATE BABI BAWAH RUKO,,-6.1542081,106.8080904
Sate Babi Bli Nyoman Jakarta,,-6.1485492,106.7805899
"Wee Nam Kee Chicken Rice, Central Park",,-6.1782566,106.7902194
House 89 Restaurant & Cafe,,-6.1780382,106.7802745
"Hoghock, Taman Ratu",,-6.169668,106.767049
Central Restaurant Taman Ratu,$$,-6.1695798,106.7680779
Canto Social Dimsum,,-6.1739964,106.7818929
Renjana Restaurant,,-6.1730992,106.7658236
Emado’s Shawarma Green Ville,,-6.1692063,106.7722815
Legend of Noodle Central Park,$$,-6.177616,106.7910157
Pepper Lunch - Central Park,$$,-6.1778155,106.7901756
Bar.B.Q Plaza Central Park,,-6.1780419,106.7908527
KONA - Restaurant,,-6.1798384,106.7662912
Wang Chinese Restaurant,,-6.1656801,106.7612611
Kadoya Sushi Green Ville,$$,-6.169497,106.772558
Eaton Bakery and Restaurant ( Taman Anggrek ),$$,-6.179122,106.792548
SHAO KAO Green Ville,$$,-6.169461,106.76898
"SaladStop! - Central Park Mall, LG floor",,-6.177296,106.7911263
ABUBA Steak - Tanjung Duren,,-6.1739652,106.7822435
The Gallery Restaurant,,-6.1685121,106.7868299
Nuvola Pizzeria Napoletana,,-6.1698681,106.7748085
"Eat Pork Love (Babi Panggang, Samcan Goreng, Sate Babi)",$$,-6.1695829,106.7721097
Saoenk Tukul Arwana,,-6.1544269,106.7963212
Jawa Timur (Nasi Uduk Dan Soto),,-6.1364883,106.7167756
Warung Jawa Timur - Ayam Goreng & Pecel Lele,,-6.1375436,106.7223076
Rumah Makan Padang Bunda,,-6.1316237,106.8120783
KumaChan Onsen Shabu-Shabu,,-6.1898066,106.7390672
Kemangi,,-6.1905693,106.7626419
Bakmi Ayam Alok (Greenville),,-6.1744766,106.778187
Seven Days,,-6.1872874,106.7391347
RM. Akoen Kebon Jeruk,,-6.1987385,106.7662566
Bakmie Ling Ling,,-6.1879124,106.7474868
Martabak YP,,-6.1895797,106.7425269
Warteg Rasa,,-6.1970322,106.7564208
Bakso Legend Abah,,-6.1796843,106.7716421
Mich’s Pizza Jakarta,,-6.1862748,106.7574953
Bebek Goreng Echo Asli Kartosuro,,-6.1796027,106.7714867
Nasi Tim Pasar Pagi Green Ville - Cahaya Pagi Chinese Food,$$,-6.1713101,106.7762173
Bakmi GM Central Park Mall,$$,-6.176741,106.791417
Ula Nago - Restaurant Padang,,-6.1638486,106.7967556
Yabaitori - Yakitori Takoyaki Ramen,,-6.1605263,106.7797288
Pondok Selera Popiah Padang,,-6.174383,106.7782031
Soto Betawi Haji Mamat,$$,-6.1761,106.799276
Pulau Bar & Restaurant,,-6.168234,106.7864713
Sushi Tei,$$$,-6.1762601,106.7915627
Viki Tegal Restaurant,,-6.1892323,106.7829647
Alimama Big Sate - NEO SOHO,,-6.1746757,106.7900765
American Grill - Sizzler restaurant,,-6.175147,106.802211
Fast Food Restaurant,,-6.1846479,106.8029291
Fiesta Steak Restaurant MTA,$$,-6.1789349,106.7927685
Ayam Goreng & Bakar Merem Melek,,-6.1762568,106.7802841
Restoran Sederhana Masakan Padang,$$,-6.161667,106.762653
Samjin Amook,,-6.1774254,106.7908657
Sushi Mate - Tanjung Duren,,-6.1812726,106.7840805
Soto Mie Bogor Kota Hujan,,-6.1645187,106.7717333
Restaurant Brewster,,-6.1681503,106.7863798
Restaurant Padang house,,-6.1775373,106.7664416
NIKU Indonesian Food,,-6.1942991,106.7869032
Fei Duck Restaurant Lippo Mall Puri,,-6.1880943,106.7391694
Naminori Japanese Izakaya & Sushi Bar,,-6.18846,106.7561559
LONG CHUAN GE SEAFOOD HOTPOT,,-6.1830085,106.7285963
Mr.Dakgalbi,$$,-6.1893101,106.7389929
Shaburi Kintan Lippo Mall Puri,,-6.1880943,106.7391694
Soto Betawi Nyonya Afung Pesanggrahan,$$,-6.193695,106.755527
Warnas Pautrasunda Restaurant,,-6.1652,106.7899559
Bubur Ayam Restaurant,,-6.1579093,106.7972863
Fast Food Restaurant,,-6.1600327,106.7742933
Seblak Di'oz Restaurant,,-6.1886719,106.8016397
Bakso Restaurant,,-6.1794726,106.7902679
BAKSO IGA BALUNGAN,,-6.1780169,106.8021914
ZENBU LIPPO MALL PURI LG Floor,$$,-6.1860148,106.7504892
Double Doors,$$,-6.1869417,106.735699
3.6.9. Shanghai Dumpling & Noodle,$$,-6.1914976,106.7581721
WangNaRa,,-6.198272,106.7588066
Seafood Restaurant,,-6.1845533,106.7369259
Ginsco Cafe,,-6.1902093,106.7379086
Rumarica ( Online Delivery Only),$$,-6.1836955,106.7431339
Restoran Warung Kelapa (Waroeng Kelapa),$$,-6.1841082,106.753896
"Padang Restaurant ""New City""",,-6.2025435,106.7828293
Restaurant Manado Ikomaoo,,-6.1743045,106.7836713
Pancious - Lippo Mall Puri,$$$,-6.1901585,106.7390301
AYAM PAKAR KEBON JERUK,,-6.2045593,106.7696392
Pisang Goreng Happy Pontianak,,-6.1619564,106.7623477
Ayam Taliwang Jimbaran,,-6.1813404,106.7576948
Mama Meals,,-6.1542483,106.7818668
DC HWI - kantor HWI kebon jeruk,,-6.18425,106.7722147
A&W Restaurant - Kedoya,$$,-6.1896519,106.7644524
Wangja Korean Bbq All You Can Eat Restaurant Puri Indah,$$,-6.1936649,106.75536
Kedai Kayuku,,-6.1860023,106.7568016
Koka Ramen Express,,-6.200945,106.785258
Sinar Jaya Restaurant,,-6.1904782,106.766707
Pondok Sate Surya,,-6.1968725,106.7459441
